“Imagine smiling after a slap in the face. Then think of doing it twenty-four hours a day.”,"Markus Zusak,",The Book Thief,"pain, sadness, stoicism"
"“If you are distressed by anything external, the pain is not due to the thing itself, but to your estimate of it; and this you have the power to revoke at any moment.”","Marcus Aurelius,",Meditations,"attitude, distress, mind-over-body, pain, stoicism"
"“Never let the future disturb you. You will meet it, if you have to, with the same weapons of reason which today arm you against the present.”","Marcus Aurelius,",Meditations,"equanimity, future, inspirational, reason, stoic, stoicism, worry"
“It is the power of the mind to be unconquerable.”,"Seneca,",The Stoic Philosophy of Seneca: Essays and Letters,"consicousness, dissociation, mind, stoicism, transcendence, zen"
“Warriors should suffer their pain silently.”,"Erin Hunter,",Into the Wild,"erin, hunter, hurt, pain, stoicism, suffer, tigerclaw, tigerstar, warrior, warriors"
"“Until we have begun to go without them, we fail to realize how unnecessary many things are. We've been using them not because we needed them but because we had them.”","Lucius Annaeus Seneca,",Letters from a Stoic,"philosophy, stoic, stoicism"
“Complaining does not work as a strategy. We all have finite time and energy. Any time we spend whining is unlikely to help us achieve our goals. And it won't make us happier.”,"Randy Pausch,",The Last Lecture,"complaining, stoicism"
"“Life is such unutterable hell, solely because it is sometimes beautiful. If we could only be miserable all the time, if there could be no such things as love or beauty or faith or hope, if I could be absolutely certain that my love would never be returned: how much more simple life would be. One could plod through the Siberian salt mines of existence without being bothered about happiness. Unfortunately the happiness is there. There is always the chance (about eight hundred and fifty to one) that another heart will come to mine. I can't help hoping, and keeping faith, and loving beauty. Quite frequently I am not so miserable as it would be wise to be.”","T.H. White,","Ghostly, Grim and Gruesome","beauty, faith, happiness, hope, life, living, love, misery, pain, positivity, stoicism"
"“A Stoic is someone who transforms fear into prudence, pain into transformation, mistakes into initiation, and desire into undertaking.”",Taleb Nassim Nicholas,N/A,stoicism
"“Remember, it is not enough to be hit or insulted to be harmed, you must believe that you are being harmed. If someone succeeds in provoking you, realize that your mind is complicit in the provocation. Which is why it is essential that we not respond impulsively to impressions; take a moment before reacting, and you will find it easier to maintain control.”","Epictetus,","The Art of Living: The Classical Manual on Virtue, Happiness and Effectiveness","philosophy, self-control, stoic, stoicism"
"“People hide their truest nature. I understood that; I even applauded it. What sort of world would it be if people bled all over the sidewalks, if they wept under trees, smacked whomever they despised, kissed strangers, revealed themselves?”","Alice Hoffman,",The Ice Queen,"restraint, stoicism"
“The things you think about determine the quality of your mind.”,"Marcus Aurelius,",Meditations,"empowerment, marcus-aurelius, mind, philosophy, self-improvement, stoicism, thoughts"
“Feeling too much is a hell of a lot better than feeling nothing.”,"Nora Roberts,",Midnight Bayou,"empathy, passion, stoicism"
"“Why should we place Christ at the top and summit of the human race? Was he kinder, more forgiving, more self-sacrificing than  Buddha ? Was he wiser, did he meet death with more perfect calmness, than  Socrates ? Was he more patient, more charitable, than  Epictetus ? Was he a greater philosopher, a deeper thinker, than  Epicurus ? In what respect was he the superior of  Zoroaster ? Was he gentler than  Lao-tsze , more universal than  Confucius ? Were his ideas of human rights and duties superior to those of  Zeno ? Did he express grander truths than  Cicero ? Was his mind subtler than  Spinoza ’s? Was his brain equal to  Kepler ’s or  Newton ’s? Was he grander in death – a sublimer martyr than  Bruno ? Was he in intelligence, in the force and beauty of expression, in breadth and scope of thought, in wealth of illustration, in aptness of comparison, in knowledge of the human brain and heart, of all passions, hopes and fears, the equal of  Shakespeare , the greatest of the human race?”","Robert G. Ingersoll,",About The Holy Bible,"atheism, baruch-spinoza, bruno, buddha, buddhism, cicero, epictetus, epicurus, gautama-buddha, giordano-bruno, isaac-newton, johannes-kepler, kepler, kindness, laozi, newton, patience, shakespeare, socrates, spinoza, stoicism, william-shakespeare, wisdom, zeno, zeno-of-citium, zoroaster"
“How do you defeat terrorism? Don’t be terrorized.”,"Salman Rushdie,",Step Across This Line: Collected Nonfiction 1992-2002,"civil-society, courage, freedom, serenity, stoicism, terrorism"
"“What do you know of my heart? What do you know of anything but your own suffering. For weeks, Marianne, I've had this pressing on me without being at liberty to speak of it to a single creature. It was forced on me by the very person whose prior claims ruined all my hope. I have endured her exultations again and again whilst knowing myself to be divided from Edward forever. Believe me, Marianne, had I not been bound to silence I could have provided proof enough of a broken heart, even for you.”","Jane Austen,",Sense and Sensibility,"classics, heartbreak, stoicism"
"“For what prevents us from saying that the happy life is to have a mind that is free, lofty, fearless and steadfast - a mind that is placed beyond the reach of fear, beyond the reach of desire, that counts virtue the only good, baseness the only evil, and all else but a worthless mass of things, which come and go without increasing or diminishing the highest good, and neither subtract any part from the happy life nor add any part to it? A man thus grounded must, whether he wills or not, necessarily be attended by constant cheerfulness and a joy that is deep and issues from deep within, since he finds delight in his own resources, and desires no joys greater than his inner joys.”","Lucius Annaeus Seneca,",The Stoic Philosophy of Seneca: Essays and Letters,"anthem, happiness, intrisic-motivation, stoicism"
"“Always resignation and acceptance. Always prudence and honour and duty. Elinor, where is your heart?”","Jane Austen,",Sense and Sensibility,stoicism
“Misfortune nobly born is good fortune.”,"Marcus Aurelius,",Meditations,"misfortune, stoicism"
"“Regard [a friend] as loyal, and you will make him loyal.”","Lucius Annaeus Seneca,",Letters from a Stoic,stoicism
“To be everywhere is to be nowhere.”,"Lucius Annaeus Seneca,",Letters from a Stoic,stoicism
"“Limiting one’s desires actually helps to cure one of fear. ‘Cease to hope … and you will cease to fear.’ … Widely different [as fear and hope] are, the two of them march in unison like a prisoner and the escort he is handcuffed to. Fear keeps pace with hope … both belong to a mind in suspense, to a mind in a state of anxiety through looking into the future. Both are mainly due to projecting our thoughts far ahead of us instead of adapting ourselves to the present.”","Lucius Annaeus Seneca,",Letters from a Stoic,stoicism
"“Think of your many years of procrastination; how the gods have repeatedly granted you further periods of grace, of which you have taken no advantage. It is time now to realise the nature of the universe to which you belong, and of that controlling Power whose offspring you are; and to understand that your time has a limit set to it. Use it, then, to advance your enlightenment; or it will be gone, and never in your power again.”","Marcus Aurelius,",Meditations,"motivation, philosophy, procrastination, stoic, stoicism"
"“What really frightens and dismays us is not external events themselves, but the way in which we think about them. It is not things that disturb us, but our interpretation of their significance.”",Epictetus,N/A,"ethics, philosophy, stoicism"
“You should … live in such a way that there is nothing which you could not as easily tell your enemy as keep to yourself.”,"Lucius Annaeus Seneca,",Letters from a Stoic,stoicism
"“Nothing is burdensome if taken lightly, and nothing need arouse one's irritation so long as one doesn't make it bigger than it is by getting irritated.”","Lucius Annaeus Seneca,",Letters from a Stoic,stoicism
"“You know yourself what you are worth in your own eyes; and at what price you will sell yourself. For men sell themselves at various prices. This is why, when Florus was deliberating whether he should appear at Nero's shows, taking part in the performance himself, Agrippinus replied, 'Appear by all means.' And when Florus inquired, 'But why do not you appear?' he answered, 'Because I do not even consider the question.' For the man who has once stooped to consider such questions, and to reckon up the value of external things, is not far from forgetting what manner of man he is.”","Epictetus,",The Golden Sayings of Epictetus,"ethics, integrity, path, stoicism"
"“Life is such unutterable hell, solely because it is sometimes beautiful. If we could only be miserable all the time, if there could be no such things as love or beauty or faith or hope, if I could be absolutely certain that my love would never be returned: how much more simple life would be. One could plod through the Siberian salt mines of existence without being bothered about happiness.”","T.H. White,",Alfred Hitchcock Presents: Stories That Scared Even Me,"cynicism, dichotomy, happiness, pain, stoicism"
“There will never come a time when I will be able to resist my emotions.”,"Louise Erdrich,",Tales of Burning Love,"emotion, stoicism"
“I hear my silence talked of in every lane; The suppression of a cry is itself a cry of pain.”,Darshan Singh,N/A,"me, stoicism, truth"
"“It is not the man who has too little that is poor, but the one who hankers after more.”","Lucius Annaeus Seneca,",Letters from a Stoic,stoicism
"“Today I escaped anxiety. Or no, I discarded it, because it was within me, in my own perceptions — not outside.”","Marcus Aurelius, Meditations",N/A,stoicism
"“Stop wandering about! You aren't likely to read your own notebooks, or ancient histories, or the anthologies you've collected to enjoy in your old age. Get busy with life's purpose, toss aside empty hopes, get active in your own rescue-if you care for yourself at all-and do it while you can.”","Marcus Aurelius,",Meditations,"life, philosophy, stoicism"
"“Remember two things: i. that everything has always been the same, and keeps recurring, and it makes no difference whether you see the same things recur in a hundred years or two hundred, or in an infinite period; ii. that the longest-lived and those who will die soonest lose the same thing. The present is all that they can give up, since that is all you have, and what you do not have you cannot lose.”","Marcus Aurelius,",Meditations,"philosophy, stoicism"
"“From the philosopher Catulus, never to be dismissive of a friend's accusation, even if it seems unreasonable, but to make every effort to restore the relationship to its normal condition.”","Marcus Aurelius,",Meditations,"philosophy, stoicism"
"“We love being mentally strong, but we hate situations that allow us to put our mental strength to good use.”",Mokokoma Mokhonoana,N/A,"adversity, affliction, aphorism, aphorisms, aphorist, aphorists, austerity, be-determined, be-persistent, be-tenacious, carry-on, challenge, challenges, continue, deprivation, destitution, determination, difficult, difficulties, dire-straits, distress, doggedness, dream, dreamer, dreamers, endurance, entrepreneur, entrepreneurs, firmness, follow-through, funny, give-up, go-on, go-the-distance, hammer-away, hang-in-there, hang-on, hardship, hardships, hilarious, hold-on, humor, humorous, humour, impecuniousness, indefatigability, inspiration, inspire, intransigence, joke, jokes, keep-at-it, keep-going, keep-on, leave-no-stone-unturned, mental-strength, mentally-strong, misery, misfortune, motivate, motivation, need, neediness, never-give-up, not-take-no-for-an-answer, obduracy, obstinacy, pain, patience, penury, perseverance, persevere, persist, persistence, pertinacity, plod-on, plug-away, poverty, press-ahead, press-on, privation, problem, problems, purposefulness, quotations, quotes, resoluteness, resolution, resolve, satire, soldier-on, stamina, stand-fast, stand-firm, startup, startups, staunchness, stay-the-course, staying-power, steadfastness, stick-it-out, stoic, stoicism, stoics, stop-at-nothing, strength, strength-of-purpose, strong, struggle-on, stubbornness, suffer, suffering, tenacity, tirelessness, travails, trial, trials, trials-and-tribulations, tribulation, tribulations, trouble, venture-capitalist, venture-capitalists, want, wretchedness"
